jealand,	জ্যালান্ড,	জিল্যান্ড,	
beekaargrasta,	বিকারগার্স্ত,	বিকারগ্রস্ত,	
pretishta,	প্রেটিস্ট,	প্রতিষ্টা,	
sikkhagata,	শিক্ষাগতা,	শিক্ষাগত,	
agovir,	অগভীর,	অগভীর,	
remacry,	রেমাক্রি,	রেমাক্রী,	
rohoshyor,	রহস্যর,	রহস্যর,	
opochesta,	অপচেষ্ট,	অপচেষ্টা,	
aashtikotaa,	অস্তিকতা,	আস্তিকতা,	
dwipgulo,	দ্বিপগুলো,	দ্বীপগুলো,	
jackson,	জক্সন,	জ্যাকসন,	
deebating,	ডেবটিং,	ডিবেটিং,	
ikbaler,	ইকবালের,	ইকবালের,	
chilahatee,	চিলাহিতি,	চিলাহাটি,	
bhyaatikaaner,	ভ্যাতিকানের,	ভ্যাটিকানের,	
madhobikey,	মাধবিকে,	মাধবীকে,	
patjato,	পাতাত,	পাটজাত,	
sangbadmadhyamer,	সংবাদমা্যমের,	সংবাদমাধ্যমের,	
nariikeyi,	নারীকেই,	নারীকেই,	
durgotsav,	দুর্গতসভ,	দুর্গোৎসব,	
potchitra,	পতচিত্রা,	পটচিত্র,	
dhonni,	ধন্নী,	ধন্যি,	
cantan,	ক্যান্টন,	ক্যান্টন,	
anekeri,	অনেকারী,	অনেকেরই,	
crescenter,	ক্রেস্েন্টের,	ক্রিসেন্টের,	
vishwanath,	বিশ্বনাথ,	বিশ্বনাথ,	
masjidke,	মজ্ীদদে,	মসজিদকে,	
sikkhakbrindo,	শিক্ষাকৃন্দ,	শিক্ষকবৃন্দ,	
abarte,	আবর্তে,	আবর্তে,	
drisser,	দৃশ্যের,	দৃশ্যের,	
kaloniir,	কালনীর,	কালনীর,	
nirmolota,	নির্মলতা,	নির্মলতা,	
meghachchanno,	মেঘাচ্ছন,	মেঘাচ্ছন্ন,	
torunke,	তরুণকে,	তরুণকে,	
taap,	তাপ,	ট্যাপ,	
seelbhee,	সিলভী,	সিলভি,	
benj,	বেঁজ,	বেঞ্জ,	
nathivukta,	নথিভুক্ত,	নথিভুক্ত,	
monzile,	মঞ্জিলে,	মঞ্জিলে,	
berubar,	বেরুবার,	বেরুবার,	
alankaran,	অলংকরণ,	অলঙ্করণ,	
abasarer,	অবসারের,	অবসরের,	
sakar,	সকার,	সাকার,	
hyarikena,	হ্যারিকেন,	হ্যারিকেন,	
mohajot,	মহাজত,	মহাজোট,	
samudratate,	সমুদ্রততে,	সমুদ্রতটে,	
alauler,	আলালের,	আলাওলের,	
samudrotate,	সমুদ্রততে,	সমুদ্রতটে,	
bbs,	বিএসএস,	বিবিএস,	
totokshon,	ততক্ষণ,	ততক্ষন,	
noditike,	নদীতীকে,	নদীটিকে,	
zubokti,	যুবক্তি,	যুবকটি,	
scall,	স্কল,	এসকল,	
park,	পার্ক,	পার্ক,	
soros,	সরস,	সরস,	
auncholo,	আঞ্চল,	অঞ্চলও,	
venice,	ভেনিস,	ভেনিস,	
advut,	আদভূত,	অদ্ভুত,	
mach,	মাচ,	মাছ,	
shulfate,	সুলফাতে,	সালফেট,	
bizito,	বিজিত,	বিজিত,	
fooloo,	ফুলু,	পোলো,	
gaze,	গেজ,	গেজ,	
bibhinno,	বিভিন্ন,	বিভন্ন,	
change,	চাঙ্গে,	চেঞ্জ,	
labonaaktotaar,	লবনাক্ততার,	লবণাক্ততার,	
ogradut,	অগ্রাদুত,	অগ্রদূত,	
chaalke,	চালকে,	চালকে,	
jameser,	জামেসের,	জেমসের,	
doobhara,	দুভার,	ডোভার,	
bechaa,	বেচা,	বেচা,	
zinsa,	জিনসা,	জিন্স,	
taroni,	তরনই,	তরণী,	
sardar,	সর্দার,	সরদার,	
krishenta,	ক্রিসেন্ট,	ক্রিসেন্ট,	
manonitader,	মননিিতাদের,	মনোনীতদের,	
dibaag,	দিবাগ,	ডিবাগ,	
quarter,	কোয়ার্টের,	কোয়ার্টার,	
byaboharkarike,	ব্যবহারকারীক,	ব্যবহারকারীকে,	
oitijjher,	ঐতিহ্যের,	ঐতিহ্যের,	
danut,	দানুট,	ডোনাট,	
bardhitaanas,	বর্ধিতানাস,	বর্ধিতাংশ,	
esosiyetasa,	এসোসিয়েট,	এসোসিয়েটস,	
machher,	মাছের,	মাছের,	
brindaabane,	বিন্দবানে,	বৃন্দাবনে,	
laaj,	লাজ,	লাজ,	
aminool,	আমিনুল,	আমিনুল,	
zack,	জ্যাক,	জ্যাক,	
dovaar,	দোভার,	ডোভার,	
premo,	প্রেমও,	প্রিমো,	
ptolemir,	পুলমেির,	টলেমির,	
nogore,	নগরে,	নগরে,	
gajipur,	গাজীপুর,	গাজীপুর,	
steena,	স্টেন,	স্টেন,	
graambaasider,	গ্রামবাসীদের,	গ্রামবাসীদের,	
shrabosty,	শ্রববস্তি,	শ্রাবস্তী,	
gondogol,	গণ্ডগোল,	গন্ডগোল,	
taunashipa,	টৌনসিপ,	টাউনশিপ,	
eksapresana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
sharif,	শেরিফ,	শরিফ,	
toroonke,	তরুণকে,	তরুণকে,	
jaj,	যাজ,	জাজ,	
venicey,	ভেনিসে,	ভেনিসে,	
bomkesh,	বোমকেষ,	ব্যোমকেশ,	
spenser,	স্পেন্সের,	স্পেন্সার,	
bishwashi,	বিশ্বাসী,	বিশ্বাসী,	
marketim,	মার্কেটিং,	মার্কেটিং,	
saras,	সারাস,	সরস,	
mumtazer,	মুমতাজের,	মুমতাজের,	
kartana,	কর্তন,	করতনা,	
lainde,	লাইন্ডে,	ল্যান্ডে,	
jetam,	জেতাম,	যেতাম,	
khogen,	খোগেন,	খগেন,	
jansha,	জনশ,	জন্স,	
bajite,	বাজিতে,	বাজিতে,	
preti,	প্রতি,	প্রিটি,	
hepatetisa,	হেপাটেটিস,	হেপাটাইটিস,	
sangrahak,	সংগ্রহক,	সংগ্রাহক,	
bamonder,	বামনদের,	বামনদের,	
roy,	রো,	রায়,	
chalo,	চাল,	চলো,	
battery,	ব্যাটারি,	ব্যাটারী,	
bo,	বো,	বু,	
zhalkatthi,	ঝালকাঠি,	ঝালকাঠী,	
karadandey,	কারাদণ্ডে,	কারাদণ্ডে,	
lettere,	লেটার,	লেটারে,	
malaika,	মালাইকা,	মালাইকা,	
gosthi,	গোষ্ঠী,	গোষ্ঠী,	
bhabanir,	ভবননির,	ভবানীর,	
shatjon,	শাতজন,	সাতজন,	
pleta,	প্লটট,	প্লেটো,	
siiter,	সীটের,	শীতের,	
chalkee,	চালকি,	চালকে,	
ghesha,	ঘেস,	ঘেঁষা,	
gonosakkhorota,	গণসক্ষরতা,	গণসাক্ষরতা,	
jojyata,	যোজ্যতা,	যোজ্যতা,	
kuchir,	কুচির,	কুচির,	
mmadhuri,	মধুরি,	মাধুরী,	
bard,	বর্ড,	বার্ড,	
teereesa,	টেরিশ,	টেরেসা,	
mataram,	মাতরাম,	মাতরম,	
manushgulor,	মানুষগুলোর,	মানুষগুলোর,	
udvaban,	উদ্ভবন,	উদ্ভাবন,	
bhabna,	ভবনা,	ভাবনা,	
byabasthar,	ব্যবস্থার,	ব্যবস্থার,	
anis,	অনযানিস,	আনিস,	
baharamporer,	বহহরমপের,	বহরমপুরের,	
blagaarara,	ব্লগগার,	ব্লগাররা,	
jetei,	জেতেই,	যেতেই,	
enimeted,	এনিমিটেড,	এনিমেটেড,	
maldava,	মালদাবা,	মলদোভা,	
utshahi,	উত্সাহী,	উৎসাহী,	
turkey,	টার্কি,	তুর্কি,	
skora,	স্কোর,	স্কোর,	
dolu,	দল,	ডলু,	
gonocheen,	গণচীন,	গণচীন,	
satarko,	সতার্ক,	সতর্ক,	
bivonno,	বিভন্ন,	বিভন্ন,	
turkmeen,	তুর্কমীন,	তুর্কমেন,	
nathivuktir,	নথিভুক্তির,	নথিভুক্তির,	
sohingsotar,	সহিংসততার,	সহিংসতার,	
chirata,	চিরত,	চিরতা,	
shantaa,	শান্তা,	সান্তা,	
kod,	কদ,	কোড,	
lumbini,	লুম্বিনী,	লুম্বিনী,	
deefinision,	ডেফিনিশন,	ডেফিনেশন,	
fixing,	ফিক্সিং,	ফিক্সিং,	
sikar,	শিকার,	শিকার,	
minishtara,	মিনিস্টার,	মিনিস্টার,	
sangharshik,	সংহর্ষিক,	সাংঘর্ষিক,	
somabeshti,	সমবাষে্টি,	সমাবেশটি,	
jahara,	জাহার,	যাহরা,	
bujhechhilo,	বুঝেছিল,	বুঝেছিল,	
messengerer,	মেসেঞ্গারের,	মেসেঞ্জারের,	
dekhbar,	দেখবার,	দেখবার,	
letter,	লেটার,	লেটার,	
graambaasir,	গ্রামবাসীর,	গ্রামবাসীর,	
mitrota,	মিত্রতা,	মিত্রতা,	
rapto,	রাপত,	রপ্ত,	
adhyattikotar,	আধ্যাত্তিকতার,	আধ্যাত্মিকতার,	
bodhirata,	বধিরাা,	বধিরতা,	
associatis,	অ্যাসোসিটেসিস,	এসোসিয়েটস,	
thimke,	থিমকে,	থিমকে,	
reesideencee,	রেসিডেন্স,	রেসিডেন্স,	
chhaanake,	ছানাকে,	ছানাকে,	
ooeepokar,	উইপকার,	উইপোকার,	
bishwashke,	বিশ্বাসকে,	বিশ্বাসকে,	
quartar,	কোয়ার্টার,	কোয়ার্টার,	
eqsapreshana,	এক্সপ্রেশন,	এক্সপ্রেশন,	
rupdaan,	রূপদান,	রুপদান,	
diyares,	ডিয়ারেস,	ডিআরএস,	
tunar,	টুনার,	টিউনার,	
suchonakal,	সূচনাকাল,	সূচনাকাল,	
culing,	কুলিং,	কুলিং,	
byaaran,	ব্যারণ,	ব্যারন,	
dibet,	দিবেত,	ডিবেট,	
prokalpeo,	প্রকালপপেও,	প্রকল্পেও,	
mooldoova,	মুল্ডভা,	মলদোভা,	
noter,	নটের,	নোটের,	
nirbaho,	নির্বাহ,	নির্বাহ,	
somrat,	সম্রাত,	সম্রাট,	
arik,	এরিক,	আরিক,	
chirontan,	চিরর্তন,	চিরন্তন,	
obhijojon,	অভিযোজন,	অভিযোজন,	
bim,	বিম,	বীম,	
elakatir,	এলাকাটির,	এলাকাটির,	
ekoirokom,	একইরমক,	একইরকম,	
soranor,	সরানোর,	সরানোর,	
bcci,	বিএসসি,	বিসিসিআই,	
fand,	ফাঁদ,	ফান্ড,	
eemarjeensi,	এমের্জেন্সি,	এমার্জেন্সি,	
salmaaner,	সালমানের,	সালমানের,	
soccar,	সোকার,	সকার,	
orbeet,	অরবিত,	অরবিট,	
elaakasoho,	এলাকাহহ,	এলাকাসহ,	
sheekar,	শিকার,	শিকার,	
charchito,	চার্চিত,	চর্চিত,	
abheedhaaneec,	আভিধানিক,	অভিধানিক,	
mitra,	মিত্র,	মিত্র,	
choity,	চৈতি,	চৈতি,	
haze,	হাযেজ,	হেজ,	
boikolyo,	বৈকল্য,	বৈকল্য,	
totenhamer,	তোতেনহামের,	টটেনহামের,	
udichi,	উদিছি,	উদীচী,	
vittitei,	ভিত্তিতেই,	ভিত্তিতেই,	
transapharma,	ট্রান্সফোর্ম,	ট্রান্সফর্ম,	
candi,	ক্যান্ডি,	ক্যান্ডি,	
nischitorupey,	নিশ্চিতরূপে,	নিশ্চিতরূপে,	
meetropalitana,	মেট্রোপলিটান,	মেট্রোপলিটন,	
byabaharkarie,	ব্যবহারকারী,	ব্যবহারকারীই,	
cholche,	চলছে,	চলছে,	
baugey,	বাগে,	বাগে,	
lajika,	লাজিক,	লজিক,	
lagto,	লাগট,	লাগতো,	
jhankar,	ঝাঁকার,	ঝঙ্কার,	
gonesher,	গণেশের,	গণেশের,	
phimela,	ফাইমেল,	ফিমেল,	
sifi,	সিফি,	সাইফাই,	
venkatesh,	ভেনকেটেস,	ভেঙ্কটেশ,	
embi,	এমবি,	এমবি,	
cena,	সেনে,	সিনা,	
varson,	ভার্সন,	ভারশন,	
fala,	ফলল,	পোলো,	
shasankorta,	শাসনকার্তা,	শাসনকর্তা,	
kada,	কাদ,	কোড,	
arthanitite,	অর্থনীতিতে,	অর্থনীতিতে,	
bafal,	বাফল,	বিফল,	
maaktoome,	মাক্টমে,	মাকতুম,	
paadee,	পাদে,	পাড়ে,	
votar,	ভোটার,	ভোটার,	
bidghute,	বিঘ্ুুতে,	বিদঘুটে,	
nagarikderkey,	নাগরীকদকে,	নাগরিকদেরকে,	
byabostha,	ব্যবস্থা,	ব্যাবস্থা,	
jaygata,	জাগগ,	জায়গাটা,	
chetonagato,	চেতনগত,	চেতনাগত,	
ranangone,	রানাঙ্গনে,	রণাঙ্গনে,	
skart,	স্কার্ট,	স্কার্ট,	
beshorkarikarone,	বেসরকারীকরণ,	বেসরকারিকরণ,	
siddhanto,	সিদ্ধান্ত,	সিদ্ধান্তও,	
shelim,	সেলিং,	সেলিম,	
chaudhurike,	চৌধুরিকে,	চৌধুরীকে,	
woter,	ওয়েটার,	ভোটার,	
panjikar,	পাঁজিকার,	পঞ্জিকার,	
barak,	বারক,	বারাক,	
sahojlabhbhatar,	সহজ্যলাভাতার,	সহজলভ্যতার,	
sqolastiq,	স্কলাস্টিক,	স্কলাস্টিক,	
noitikatabodh,	নৈতিকাতবাদ,	নৈতিকতাবোধ,	
jesh,	জেস,	জেস,	
lag,	লাগ,	লগ,	
planeti,	প্লানেটি,	প্লেনটি,	
sotorkokaree,	সতররককারী,	সতর্ককারী,	
udbhabaker,	উদভাবকের,	উদ্ভাবকের,	
shajanor,	সাজানোর,	সাজানোর,	
akram,	একরম,	আকরাম,	
rajbandi,	রাজবন্দি,	রাজবন্দী,	
nagorik,	নাগরিক,	নাগরিক,	
boudhheer,	বৌদ্ধির,	বৌদ্ধের,	
konar,	কোনার,	কণার,	
grambasheeo,	গ্রামবাসীও,	গ্রামবাসীও,	
meghachonno,	মেঘাচন্য,	মেঘাচ্ছন্ন,	
abhidhanick,	অভিধানিক,	অভিধানিক,	
parichchhannata,	পরিচ্ছননা,	পরিচ্ছন্নতা,	
sazanor,	সাজানোর,	সাজানোর,	
cool,	কোল,	কুল,	
zeebonjapon,	জীবনজাপন,	জীবনযাপন,	
ghotol,	ঘটল,	ঘটল,	
khanankaj,	খানাকাজ,	খননকাজ,	
farider,	ফরিদের,	ফরিদের,	
mataram,	মাতরাম,	মাতারাম,	
otyachari,	অত্যাচারী,	অত্যাচারী,	
zones,	জোনেস,	জোন্স,	
debating,	ডেবটিং,	ডিবেটিং,	
merjito,	মের্জিত,	মার্জিত,	
rupantorer,	রূপান্তরের,	রুপান্তরের,	
sachetanotamulak,	সচেতানতমূলক,	সচেতনতামূলক,	
poripakey,	পরিপাকে,	পরিপাকে,	
pratisthar,	প্রতিষ্ঠার,	প্রতিষ্ঠার,	
janalo,	জানালো,	জানালো,	
parishrom,	পরিশ্রম,	পরিশ্রম,	
hishaber,	হিসাবের,	হিসাবের,	
granthatyke,	গ্রন্থাটিকে,	গ্রন্থটিকে,	
bagmara,	বাগমারা,	বাগমারা,	
badna,	বদনা,	বদনা,	
laat,	লাট,	লাট,	
dey,	দে,	ডে,	
ragee,	রাগী,	রাগী,	
lisense,	লিসেন্স,	লাইসেন্স,	
jyakashana,	জ্যাকাশন,	জ্যাকসন,	
jeeni,	জেনি,	যিনি,	
udbodhoner,	উদ্বোধনের,	উদ্বোধনের,	
turkyder,	তুর্কীদের,	তুর্কিদের,	
gunoman,	গুমমান,	গুণমান,	
pushtir,	পুষ্টির,	পুষ্টির,	
thar,	থাযার,	থর,	
shikar,	শিকার,	শিকার,	
ieub,	ইউব,	আইইউবি,	
panni,	পানি,	পন্নী,	
edmiral,	এডমিমারাল,	এডমিরাল,	
karpet,	কর্পট,	কার্পেট,	
jolrang,	জোলার,	জলরঙ,	
gandhiir,	গান্ধীর,	গান্ধীর,	
pharn,	ফররন,	ফার্ন,	
dayitwa,	দৈত্য,	দায়িত্ব,	
sbatantrata,	স্বত্ন্ত্রতা,	স্বতন্ত্রতা,	
airish,	আইরিশ,	আইরিস,	
mosjidsoho,	মসিদসহ,	মসজিদসহ,	
chinto,	চিন্ত,	চিনতো,	
abhidhaanick,	অভিধানিক,	অভিধানিক,	
eekbalke,	ইকবালকে,	ইকবালকে,	
mausumeo,	মৌশুমেও,	মৌসুমেও,	
bon,	বোন,	বন,	
phareqsa,	ফরেক্স,	ফরেক্স,	
naarsari,	নার্সারী,	নার্সারি,	
graambasee,	গ্রামবাসী,	গ্রামবাসী,	
informetion,	ইনফর্মেশন,	ইনফরমেশন,	
scoore,	স্কোর,	স্কোর,	
sikkhakramer,	শিক্ষাক্রমের,	শিক্ষাক্রমের,	
ishton,	ইস্টন,	স্টোন,	
shiramikasha,	সিরামিকাশ,	সিরামিকস,	
mirakeela,	মিরাকেল,	মিরাকেল,	
faaj,	ফাজ,	ফাজ,	
hevy,	হেভি,	হেভি,	
gatrey,	গাত্রে,	গাত্রে,	
protishta,	প্রতিষ্ট,	প্রতিষ্টা,	
ancholtitey,	আঞচলটিতে,	অঞ্চলটিতে,	
abhidhaaneek,	আভিধানিক,	অভিধানিক,	
sheekare,	শিকারে,	শিকারে,	
kaalki,	কালকি,	কালকি,	
darzi,	দর্জি,	দরজি,	
sikkhagato,	শিক্ষাগত,	শিক্ষাগত,	
gabeshonar,	গবেষণার,	গবেষনার,	
ba,	বা,	বু,	
vumija,	ভূমিজা,	ভূমিজ,	
natshi,	নাটসি,	নাত্সি,	
ghotleo,	ঘটতলেও,	ঘটলেও,	
siddhantokey,	সিদ্ধান্তকে,	সিদ্ধান্তকে,	
azaadeer,	আজাদির,	আজাদীর,	
laishensha,	লাইসেন্স,	লাইসেন্স,	
neck,	নেক,	নেক,	
janatey,	জানাতে,	জানাতে,	
opohoron,	অপহরণ,	অপহরন,	
sarbhaarer,	সারভারের,	সার্ভারের,	
orunima,	অরুনিমা,	অরুণিমা,	
amanisa,	অমযানিসিস,	অমানিশা,	
romjaner,	রমজানের,	রমযানের,	
basate,	বাসাতে,	বাসাতে,	
jones,	জোনেস,	জোন্স,	
machhder,	মাছছের,	মাছদের,	
sanaktokaroner,	সনাক্তকরণের,	সনাক্তকরণের,	
pratiyogitar,	প্রতিযোগিতাট,	প্রতিযোগীতার,	
karadanda,	কারাদন্ডা,	কারাদণ্ড,	
engrejiteo,	ইংরেজিতেও,	ইংরেজিতেও,	
dokkhinangsho,	দক্ষিণাংশ,	দক্ষিণাংশ,	
chalachchitragulor,	চলচ্ত্রুলগুর,	চলচ্চিত্রগুলোর,	
upbasher,	উপবাসের,	উপবাসের,	
eksathe,	একসাথে,	একসাথে,	
krisenter,	ক্রিসেন্টের,	ক্রিসেন্টের,	
roktokkhorone,	রক্তকক্ষণে,	রক্তক্ষরণে,	
dosider,	দশীদের,	দোষীদের,	
avishangsan,	অভিসংসাসন,	অভিশংসন,	
pooloo,	পুলো,	পোলো,	
sutir,	সুটির,	সুতির,	
pravur,	প্রভূর,	প্রভুর,	
window,	উইন্ডো,	উইন্ডো,	
ajimke,	আজিমকে,	আজিমকে,	
ekeerokom,	একেরমক,	একইরকম,	
kormer,	কর্মের,	কর্মের,	
karadondo,	কারাদন্ড,	কারাদণ্ড,	
rajtontrey,	রাজনন্ত্রে,	রাজতন্ত্রে,	
thanvee,	ঠানভী,	থানভী,	
parbottyo,	পার্বত্ত্ব,	পার্বত্য,	
manushtikey,	মানুষ্টিকে,	মানুষটিকে,	
mohibur,	মহিবুর,	মহিবুর,	
lyaandeeng,	ল্যানডিং,	ল্যান্ডিং,	
capsul,	কাপসুল,	ক্যাপসুল,	
rezidence,	রেজিডেন্স,	রেসিডেন্স,	
qarqa,	কর্ক,	কার্ক,	
jani,	যানি,	জনি,	
estooniya,	ইস্টোনিয়া,	এস্তোনিয়া,	
skalastik,	স্কালাস্তিক,	স্কলাস্টিক,	
biswashke,	বিশ্বাসকে,	বিশ্বাসকে,	
mitre,	মিত্রে,	মিত্র,	
mukhamandol,	মুখমন্ডল,	মুখমণ্ডল,	
chef,	চেফ,	শেফ,	
towbaar,	তৌবার,	তওবার,	
noitikota,	নৈতিকতা,	নৈতিকতা,	
kanflict,	কাফ্্কিক্ট,	কনফ্লিক্ট,	
soores,	সুরেশ,	সুরেশ,	
uporitoler,	উপরীতলের,	উপরিতলের,	
inshtant,	ইনস্টান্ট,	ইনস্ট্যান্ট,	
rilayeensa,	রিলেয়েন্স,	রিলায়েন্স,	
dienes,	ডিয়েন,	ডিএনএস,	
carlas,	কার্লস,	কার্লোস,	
harj,	হার্জ,	হার্জ,	
langhoner,	লঙ্ঘনের,	লংঘনের,	
songastha,	সংস্থা,	সংস্থা,	
ingrejeeteo,	ইংরেজিতেও,	ইংরেজিতেও,	
shhyutara,	স্যুটার,	শ্যুটার,	
loukeekotaa,	লৌকিকতা,	লৌকিকতা,	
unitsaho,	উনিতসসহ,	ইউনিটসহ,	
gejeted,	গেজেটেড,	গেজেটেড,	
estoniya,	এস্টোনিয়া,	এস্তোনিয়া,	
chutochuti,	চুটুটি,	ছুটোছুটি,	
itostatah,	ইতস্তত,	ইতস্ততঃ,	
vobanipur,	ভবানীপুর,	ভবানীপুর,	
kaptai,	কপ্তাই,	কাপ্তাই,	
swartha,	স্বার্থা,	স্বার্থ,	
motamoto,	মোতামত,	মতামতও,	
bisnuke,	বিষ্ণুকে,	বিষ্ণুকে,	
promotione,	প্রমোশনে,	প্রোমোশনে,	
chitranattakar,	চিত্রনাত্যকার,	চিত্রনাট্যকার,	
rohasyer,	রহশ্যের,	রহস্যের,	
gardena,	গার্ডেন,	গার্ডেন,	
karmakarke,	কর্মকারকে,	কর্মকারকে,	
lutharana,	লুঠারণ,	লুথেরান,	
armstronz,	আর্স্টরাজ্ন,	আর্মস্ট্রং,	
pushti,	পুষ্টি,	পুষ্টি,	
prabhritir,	প্রভূতির,	প্রভৃতির,	
yuqeliptas,	ইউকেলপিলেট্স,	ইউক্যালিপ্টাস,	
varotey,	ভারতে,	ভারতে,	
kailas,	কেইলস,	কৈলাস,	
scholarship,	স্কলারশিপ,	স্কলারশিপ,	
sangosthati,	সংস্থাটি,	সংস্থাটি,	
shourshe,	সৌর্সে,	সোর্স,	
bhotarer,	ভোটারের,	ভোটারের,	
mesenjjarer,	মেশেনজারের,	মেসেঞ্জারের,	
akkash,	আককাশ,	আককাস,	
motar,	মোটার,	মুতার,	
asbar,	আসবার,	আসবার,	
koro,	কোরো,	করো,	
soinyoder,	সৈন্যদের,	সৈন্যদের,	
pletoo,	প্লট,	প্লেটো,	
manabmoner,	মানবমনের,	মানবমনের,	
aqabar,	একবার,	আকাবার,	
arashie,	আরসি,	আরসিএ,	
nodimatrik,	নদীমাত্রিক,	নদীমাতৃক,	
dormitoree,	দরমিতরি,	ডরমিটরি,	
jhalkathee,	ঝালকাঠি,	ঝালকাঠী,	
fanse,	ফাঁসে,	ফাঁসে,	
bahaal,	বাহাল,	বহাল,	
rena,	রেন,	রেনো,	
sane,	সানে,	সনে,	
jwor,	জোর,	জ্বর,	
torun,	তরুণ,	তরুন,	
cholocchitrigulor,	চলচিত্রুগুলোর,	চলচ্চিত্রগুলোর,	
kyandi,	ক্যান্ডি,	ক্যান্ডি,	
torcarir,	তরকারির,	তরকারীর,	
daltyagi,	দলত্যাগী,	দলত্যাগী,	
turbine,	টার্বিন,	টারবাইন,	
langhan,	লঙ্ঘন,	লংঘন,	
tennis,	টেনিস,	টেনিস,	
iyutha,	ইউথ,	ইয়ুথ,	
mohisho,	মহীষ,	মহিষ,	
cholocchitro,	চলচিত্র,	চলচ্চিত্র,	
rajnoiteek,	রাজনৈতিক,	রাজনৈতীক,	
keui,	কিউই,	কেউই,	
protijogita,	প্রতিযোগিতা,	প্রতিযোগীতা,	
chat,	চট,	চ্যাট,	
obheegomon,	অভিগোমন,	অভিগমন,	
zojjyota,	যোজ্যতা,	যোজ্যতা,	
siite,	সীটে,	শীতে,	
marmaraa,	মার্মারা,	মারমারা,	
vumir,	ভূমির,	ভূমির,	
makhmaley,	মাখমালে,	মখমলে,	
longhon,	লঙ্ঘন,	লংঘন,	
jerusalema,	জেরুসমেল,	জেরুসালেম,	
harisher,	হরিসের,	হ্যারিসের,	
gobeshanagar,	গবেষণাগার,	গবেষনাগার,	
bim,	বিম,	বিম,	
obharbhiu,	অভার্ভিও,	ওভারভিউ,	
bhatar,	ভাটার,	ভাতার,	
proteemar,	প্রতিমার,	প্রতিমার,	
highcommissioney,	হাইকমিশনে,	হাইকমিশনে,	
koordider,	কুর্দীদের,	কুর্দিদের,	
naazee,	নাজী,	নাত্সি,	
saarbhaarti,	সার্ভার্তি,	সার্ভারটি,	
gobhornorer,	গভর্নরের,	গভর্ণরের,	
inapharamesana,	ইনফারমেশন,	ইনফরমেশন,	
chalochchitrai,	চলচিত্র,	চলচ্চিত্রই,	
michiler,	মিচিলের,	মিছিলের,	
lyanda,	ল্যান্ড,	ল্যান্ড,	
buffer,	বাফের,	বাফার,	
shniper,	স্নিপের,	স্নাইপার,	
ankush,	অঙ্কুশ,	অংকুশ,	
sthapanatir,	স্থাপনাতির,	স্থাপনাটির,	
attar,	আত্মার,	আত্তার,	
kokein,	কোকেন,	কোকেইন,	
bbiswashi,	বিশ্বাসী,	বিশ্বাসই,	
roialti,	রয়েলটি,	রয়্যালটি,	
neemeette,	নিমিততে,	নিমিত্তে,	
madhukooree,	মধুকূরী,	মাধুকরী,	
laishenshe,	লাইসেন্স,	লাইসেন্স,	
deily,	ডেলি,	ডেইলি,	
kanisttha,	কনিষ্ঠ,	কনিষ্ঠ,	
osontos,	অশন্ত্ষ,	অসন্তোষ,	
baghdad,	বাঘদাদ,	বাগদাদ,	
bisheshya,	বিশেষ্য,	বিশেষ্য,	
rephlex,	রাইফ্লেস্স,	রিফ্লেক্স,	
jonosomaj,	জনসমাজ,	জনসমাজ,	
reefleex,	রেফলেক্স,	রিফ্লেক্স,	
cilahaati,	সিলাহিটি,	চিলাহাটি,	
soundarjo,	সৌন্দর্য,	সৌর্ন্দয্য,	
batsmani,	বাৎসমানি,	ব্যাটসম্যানই,	
cholochchitrai,	চলচিত্র,	চলচ্চিত্রই,	
somosto,	সমস্ত,	সমস্ত,	
torkareer,	তরকারির,	তরকারীর,	
mondope,	মণ্ডপে,	মন্ডপে,	
jacker,	জ্যাকের,	জ্যাকের,	
prasadhoner,	প্রসাধনের,	প্রসাধনের,	
groth,	গ্রথ,	গ্রোথ,	
logicer,	লোগিকের,	লজিকের,	
sithilotar,	সিথিলতার,	শিথিলতার,	
sahocorrzo,	সহচর্য,	সাহচর্য,	
kaale,	কালে,	কালে,	
as,	আস,	অস,	
kortona,	কর্তনা,	করতনা,	
nodigulir,	নদীগুলির,	নদীগুলির,	
byetasamyan,	বেতসস্যান,	ব্যাটসম্যান,	
nagorikota,	নাগরিকতা,	নাগরিকতা,	
shangkalonti,	সংক্লানটি,	সংকলনটি,	
mascat,	মাসকাট,	মাস্কাট,	
addhatikotar,	আধ্ধাতিকতার,	আধ্যাত্মিকতার,	
bisheshshyo,	বিশেষ্য,	বিশেষ্য,	
heeli,	হেলি,	হিলি,	
grambaasee,	গ্রামবাসী,	গ্রামবাসী,	
foridi,	ফরিদি,	ফরিদী,	
shringe,	শৃঙ,	শৃঙ্গে,	
akeeb,	একীব,	আকিব,	
aashor,	আসর,	আসর,	
dwipei,	দ্বিপেই,	দ্বীপেই,	
navel,	নেভেল,	নভেল,	
gajee,	গাজী,	গেজ,	
militari,	মিলিটারী,	মিলিটারি,	
sofir,	সফির,	সোফির,	
devolapar,	ডেভলপার,	ডেভলপার,	
elaakatir,	এলাকতির,	এলাকাটির,	
thanvi,	ঠানভী,	থানভী,	
chalochchitragulor,	চলচিত্রগুলোর,	চলচ্চিত্রগুলোর,	
sangasthaner,	সংস্থানের,	সংস্থানের,	
sahocorrze,	সহচর্ষে,	সাহচর্যে,	
